name,smiles,taste,MW,LogP,HBD,HBA,TPSA
Asp 68,O(C(=O)CC)CCNC(=O)C(N)CC(O)=O,sweet,232.236,-1.1421999999999985,3.0,5.0,118.72
Asp 69,O(C(=O)CCC)CCNC(=O)C(N)CC(O)=O,sweet,246.26299999999998,-0.7520999999999984,3.0,5.0,118.72
Asp 70,O(C(=O)C(C)C)CCNC(=O)C(N)CC(O)=O,sweet,246.26299999999998,-0.8961999999999983,3.0,5.0,118.72
Asp 71,O(C(=O)C1CC1)CCNC(=O)C(N)CC(O)=O,sweet,244.24699999999999,-1.1421999999999985,3.0,5.0,118.72
Asp 72,O(C(=O)C1CCC1)CCNC(=O)C(N)CC(O)=O,sweet,258.274,-0.7520999999999984,3.0,5.0,118.72
Asp 73,O(C(=O)CC(C)C)CCNC(=O)C(N)CC(O)=O,sweet,260.28999999999996,-0.5060999999999984,3.0,5.0,118.72
Asp 74,O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C,sweet,232.23599999999996,-1.143799999999999,3.0,5.0,118.72
Asp 75,O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C,sweet,246.26299999999998,-0.7536999999999987,3.0,5.0,118.72
Asp 76,O(C(=O)C=C)CC(NC(=O)C(N)CC(O)=O)C,sweet,244.24699999999999,-0.9776999999999989,3.0,5.0,118.72
Asp 77,O(C(=O)CCC)CC(NC(=O)C(N)CC(O)=O)C,sweet,260.28999999999996,-0.3635999999999986,3.0,5.0,118.72
Asp 78,O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)C,sweet,260.28999999999996,-0.5076999999999985,3.0,5.0,118.72
Asp 79,O(C(=O)C(C)=C)CC(NC(=O)C(N)CC(O)=O)C,sweet,258.27399999999994,-0.5875999999999988,3.0,5.0,118.72
Asp 80,O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)C,sweet,258.27399999999994,-0.7536999999999987,3.0,5.0,118.72
Asp 81,O(C(=O)CCCC)CC(NC(=O)C(N)CC(O)=O)C,sweet,274.317,0.026500000000001023,3.0,5.0,118.72
Asp 82,O(C(=O)C(CC)C)CC(NC(=O)C(N)CC(O)=O)C,sweet,274.317,-0.11759999999999865,3.0,5.0,118.72
Asp 83,O(C(=O)CC(C)C)CC(NC(=O)C(N)CC(O)=O)C,sweet,274.317,-0.11759999999999865,3.0,5.0,118.72
Asp 84,O(C(=O)C(C)(C)C)CC(NC(=O)C(N)CC(O)=O)C,sweet,274.317,-0.11759999999999865,3.0,5.0,118.72
Asp 85,O(C(=O)C1CC1C)CC(NC(=O)C(N)CC(O)=O)C,sweet,272.301,-0.5076999999999985,3.0,5.0,118.72
Asp 86,O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)C,sweet,272.30100000000004,-0.3635999999999986,3.0,5.0,118.72
Asp 87,O(C(=O)C(CC)CC)CC(NC(=O)C(N)CC(O)=O)C,sweet,288.34400000000005,0.272500000000001,3.0,5.0,118.72
Asp 88,O(C(=O)C1CCC1C)CC(NC(=O)C(N)CC(O)=O)C,sweet,286.32800000000003,-0.11759999999999865,3.0,5.0,118.72
Asp 89,O(C(=O)C1CCCC1)CC(NC(=O)C(N)CC(O)=O)C,sweet,286.32800000000003,0.026500000000001023,3.0,5.0,118.72
Asp 90,O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)CO,sweet,248.23499999999996,-2.171399999999998,4.0,6.0,138.95
Asp 91,O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)CO,sweet,262.26199999999994,-1.781299999999998,4.0,6.0,138.95
Asp 92,O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)CO,sweet,274.27299999999997,-1.781299999999998,4.0,6.0,138.95
Asp 93,O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)CO,sweet,276.289,-1.535299999999998,4.0,6.0,138.95
Asp 94,O(C(=O)CCC)CC(NC(=O)C(N)CC(O)=O)CO,sweet,276.289,-1.3911999999999982,4.0,6.0,138.95
Asp 95,O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)CO,sweet,288.30000000000007,-1.3911999999999982,4.0,6.0,138.95
Asp 96,O(C(=O)CC(C)C)CC(NC(=O)C(N)CC(O)=O)CO,sweet,290.31600000000003,-1.1451999999999978,4.0,6.0,138.95
Asp 97,O(C(=O)C(CC)C)CC(NC(=O)C(N)CC(O)=O)CO,sweet,290.31600000000003,-1.1451999999999978,4.0,6.0,138.95
Asp 98,O(C(=O)C1CCCC1)CC(NC(=O)C(N)CC(O)=O)CO,sweet,302.32700000000006,-1.001099999999998,4.0,6.0,138.95
Asp 99,O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)CC,sweet,246.26299999999995,-0.7536999999999991,3.0,5.0,118.72
Asp 100,O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)CC,sweet,260.28999999999996,-0.36359999999999904,3.0,5.0,118.72
Asp 101,O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)CC,sweet,274.317,-0.1175999999999986,3.0,5.0,118.72
Asp 102,O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)CC,sweet,272.301,-0.36359999999999904,3.0,5.0,118.72
Asp 103,O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)CC,sweet,286.3280000000001,0.026500000000001078,3.0,5.0,118.72
Asp 104,O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C(O)C,sweet,262.262,-1.7828999999999984,4.0,6.0,138.95
Asp 105,O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C(O)C,sweet,276.289,-1.3927999999999983,4.0,6.0,138.95
Asp 106,O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C(C)C,sweet,260.28999999999996,-0.5076999999999992,3.0,5.0,118.72
Asp 107,O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C(C)C,sweet,274.317,-0.11759999999999904,3.0,5.0,118.72
Asp 108,O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)C(C)C,sweet,288.344,0.1284000000000014,3.0,5.0,118.72
Asp 109,O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)C(C)C,sweet,286.32800000000003,-0.11759999999999904,3.0,5.0,118.72
Asp 110,O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)C(C)C,sweet,300.3550000000001,0.2725000000000011,3.0,5.0,118.72
Asp 112,O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)CCC,sweet,260.28999999999996,-0.36359999999999926,3.0,5.0,118.72
Asp 122,O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,276.245,-1.990699999999997,3.0,7.0,145.02
Asp 123,O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,290.27200000000005,-1.6005999999999971,3.0,7.0,145.02
Asp 124,O(C(=O)CCC)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,304.29900000000004,-1.210499999999998,3.0,7.0,145.02
Asp 125,O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,304.29900000000004,-1.3545999999999967,3.0,7.0,145.02
Asp 126,O(C(=O)C(C)(C)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,318.3260000000001,-0.9644999999999977,3.0,7.0,145.02
Asp 128,O(C(=O)CC(NC(=O)C(N)CC(O)=O)C)CC,sweet,246.26299999999992,-0.7536999999999994,3.0,5.0,118.72
Asp 129,O(C(C)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C,sweet,260.28999999999996,-0.3651999999999984,3.0,5.0,118.72
Asp 130,O(C(CC)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C,sweet,274.317,0.0249000000000012,3.0,5.0,118.72
Asp 131,O(C(C)(C)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C,sweet,274.317,0.0249000000000012,3.0,5.0,118.72
Asp 132,O(C(=O)CC(NC(=O)C(N)CC(O)=O)C)C1CCCCC1,sweet,300.3550000000001,0.5590999999999999,3.0,5.0,118.72
Asp 134,O(C(CC)C)C(=O)CCNC(=O)C(N)CC(O)=O,sweet,260.28999999999996,-0.36359999999999865,3.0,5.0,118.72
Asp 135,O(C(C)(C)C)C(=O)CCNC(=O)C(N)CC(O)=O,sweet,260.28999999999996,-0.36359999999999865,3.0,5.0,118.72
Asp 136,O(C(CC)CC)C(=O)CCNC(=O)C(N)CC(O)=O,sweet,274.31699999999995,0.026500000000001023,3.0,5.0,118.72
Asp 137,O(C(CCC)C)C(=O)CCNC(=O)C(N)CC(O)=O,sweet,274.31699999999995,0.026500000000001023,3.0,5.0,118.72
Asp 138,O(C(=O)CCNC(=O)C(N)CC(O)=O)C1CCCC1,sweet,272.30100000000004,-0.2194999999999998,3.0,5.0,118.72
Asp 139,O(C(=O)CCNC(=O)C(N)CC(O)=O)C1CCCCC1,sweet,286.3280000000001,0.17060000000000008,3.0,5.0,118.72
Asp 140,O(C(C)C)C(=O)C(CNC(=O)C(N)CC(O)=O)C,sweet,260.28999999999996,-0.5076999999999985,3.0,5.0,118.72
Asp 141,O(C(C)(C)C)C(=O)C(CNC(=O)C(N)CC(O)=O)C,sweet,274.317,-0.11759999999999865,3.0,5.0,118.72
Asp 142,O(C(=O)C(CNC(=O)C(N)CC(O)=O)C)C1CCCC1,sweet,286.3280000000001,0.026499999999999968,3.0,5.0,118.72
Asp 143,O(C(=O)C(CNC(=O)C(N)CC(O)=O)C)C1CCCCC1,sweet,300.35500000000013,0.41659999999999986,3.0,5.0,118.72
Asp 153,O(C(=O)CC(NC(=O)C(N)CC(O)=O)C)C,sweet,232.23599999999993,-1.1437999999999993,3.0,5.0,118.72
Asp 154,O(C(=O)CCNC(=O)C(N)CC(O)=O)C,sweet,218.20899999999997,-1.532299999999999,3.0,5.0,118.72
Asp 155,O(C(C)C)C(=O)CCNC(=O)C(N)CC(O)=O,sweet,246.26299999999998,-0.7536999999999983,3.0,5.0,118.72
Asp 156,O(C(=O)CC(NC(=O)C(N)CC(O)=O)C(OC)=O)CC,sweet,290.272,-1.6005999999999974,3.0,7.0,145.02
Asp 157,O(C(C)(C)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,318.3260000000001,-0.8219999999999976,3.0,7.0,145.02
Asp 159,O(C(=O)C(NC(=O)C(N)CC(O)=O)CC)C,sweet,232.23599999999993,-1.1437999999999995,3.0,5.0,118.72
Asp 160,O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)C,sweet,234.20799999999994,-2.5614999999999988,4.0,6.0,138.95
Asp 161,O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)CC,sweet,248.23499999999993,-2.1713999999999984,4.0,6.0,138.95
Asp 163,O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)CO,sweet,262.26199999999994,-1.782899999999998,4.0,6.0,138.95
Asp 164,O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)CCCC,sweet,276.289,-1.3911999999999989,4.0,6.0,138.95
Asp 165,O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)CC(C)C,sweet,276.289,-1.5352999999999986,4.0,6.0,138.95
Asp 166,O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)C1CCCCC1,sweet,302.3270000000001,-0.8585999999999996,4.0,6.0,138.95
Asp 167,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)C,sweet,248.23499999999996,-2.1729999999999983,4.0,6.0,138.95
Asp 168,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CC,sweet,262.26199999999994,-1.7828999999999984,4.0,6.0,138.95
Asp 169,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CCC,sweet,276.289,-1.3927999999999987,4.0,6.0,138.95
Asp 170,O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C,sweet,276.289,-1.394399999999998,4.0,6.0,138.95
Asp 171,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CCCC,sweet,290.31600000000003,-1.0026999999999993,4.0,6.0,138.95
Asp 172,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CC(C)C,sweet,290.316,-1.1467999999999987,4.0,6.0,138.95
Asp 173,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)C1CCCCC1,sweet,316.35400000000016,-0.47009999999999974,4.0,6.0,138.95
Asp 181,O(C(=O)C(NC(=O)C(N)CC(O)=O)CC)CCC,sweet,260.2899999999999,-0.3635999999999999,3.0,5.0,118.72
Asp 182,O(C(=O)CNC(=O)C(N)CC(O)=O)C,sweet,204.18199999999993,-1.922399999999999,3.0,5.0,118.72
Asp 183,O(C(=O)CNC(=O)C(N)CC(O)=O)CCC,sweet,232.2359999999999,-1.1421999999999997,3.0,5.0,118.72
Asp 184,O(C(=O)CNC(=O)C(N)CC(O)=O)C1CCCCC1,sweet,272.301,-0.21950000000000025,3.0,5.0,118.72
Asp 185,O(C(=O)C(NC(=O)C(N)CC(O)=O)CCC)CCC,sweet,274.31699999999995,0.026499999999999746,3.0,5.0,118.72
Asp 186,O(C(=O)C(NC(=O)C(N)CC(O)=O)C)C,sweet,218.20899999999995,-1.5338999999999992,3.0,5.0,118.72
Asp 187,O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CC,sweet,232.23599999999993,-1.1437999999999995,3.0,5.0,118.72
Asp 188,O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CCC,sweet,246.26299999999992,-0.7536999999999998,3.0,5.0,118.72
Asp 189,O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C,sweet,246.26299999999995,-0.7552999999999985,3.0,5.0,118.72
Asp 190,O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CCCC,sweet,260.2899999999999,-0.3635999999999999,3.0,5.0,118.72
Asp 191,O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CCCCC,sweet,274.31699999999995,0.026499999999999746,3.0,5.0,118.72
Asp 192,O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)CC,sweet,260.28999999999996,-0.36519999999999886,3.0,5.0,118.72
Asp 193,O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C(C)C,sweet,274.317,-0.11919999999999886,3.0,5.0,118.72
Asp 194,O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)CCC,sweet,274.317,0.024900000000001032,3.0,5.0,118.72
Asp 197,O(C(C)(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,304.29900000000004,-1.2120999999999977,3.0,7.0,145.02
Asp 198,O(C(CC)CC)C(=O)C(NC(=O)C(N)CC(O)=O)C(OC)=O,sweet,318.3260000000001,-0.8219999999999976,3.0,7.0,145.02
Asp 204,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(OC)=O)C1CC(CCC1)C,sweet,344.36400000000015,-0.4318999999999982,3.0,7.0,145.02
Asp 207,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(OC)=O)C1CC(CC(C1)C)(C)C,sweet,372.4180000000002,0.2042000000000015,3.0,7.0,145.02
Asp 208,O(C(OC(=O)C(NC(=O)C(N)CC(O)=O)C(OC)=O)=O)C1CC2CC[C@]1(C)C2(C)C,sweet,428.4380000000003,0.34080000000000066,3.0,9.0,171.31999999999996
Asp 211,O(C(C)(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C(OCC)=O,sweet,318.3260000000001,-0.8219999999999981,3.0,7.0,145.02
Asp 212,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(OCC)=O)C1CCCC1,sweet,330.3370000000001,-0.6778999999999982,3.0,7.0,145.02
Asp 213,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(OCC)=O)C1CCCCC1,sweet,344.36400000000015,-0.2877999999999985,3.0,7.0,145.02
Asp 214,O(C(=O)C(NC(=O)C(N)CC(O)=O)C(OCC)=O)C1CCCCC1C,sweet,358.39100000000013,-0.041799999999998505,3.0,7.0,145.02
Asp 215,O(C(OC(=O)C(NC(=O)C(N)CC(O)=O)C(OCC)=O)=O)C1CC2CC[C@]1(C)C2(C)C,sweet,442.4650000000003,0.7309000000000005,3.0,9.0,171.31999999999996
Aspartame-acesulfame salt,S1(OC(=CC(=O)N1)C)(=O)=O.O(C(=O)C(NC(=O)C(N)CC(O)=O)Cc1ccccc1)C,sweet,457.46100000000024,-1.0296999999999956,4.0,9.0,191.19
Baiyunoside,O1[C@@H](OC2CC[C@@]3([C@H](CCC(C)=C3CCc3ccoc3)C2(C)C)C)C(O[C@@H]2OCC(O)C(O)C2O)C(O)C(O)C1CO,sweet,596.7140000000003,1.4133999999999993,6.0,11.0,171.44
"3-(3-carbamoyl-2,4,6-tribromophehyl)-propionic acid",OC(=O)CCc1c(Br)cc(c(c1Br)C(=O)N)Br,sweet,429.89000000000004,3.090200000000001,2.0,2.0,80.39
Bernardame,OC(=O)CN/C(=N/c1ccc(cc1)C#N)/NCc1cc(ccc1)C,sweet,322.36800000000005,2.3182,3.0,3.0,97.50999999999999
Calcium cyclamate,[CaH2].S(O)(=O)(=O)NC1CCCCC1.S(O)(=O)(=O)NC1CCCCC1,sweet,400.5760000000002,0.5067999999999999,4.0,4.0,132.79999999999998
Calcium saccharin,[CaH2].S1(=O)(=O)NC(=O)c2c1cccc2.S1(=O)(=O)NC(=O)c2c1cccc2,sweet,408.47000000000014,-0.6788000000000007,2.0,6.0,126.47999999999999
cyclamate,S(O)(=O)(=O)NC1CCCCC1,sweet,179.24099999999996,0.7114999999999998,2.0,2.0,66.39999999999999
Cyclocarioside A,O1C(COC(=O)C)C(O)C(O)C1OC1CC[C@]2(C(CC[C@@]3(C2CC(OC2OC(C)C(O)C(O)C2O)C2[C@@]3(CCC2[C@@]2(OC(CC2)C(O)(C)C)C)C)C)C1(C)C)C,sweet,797.0359999999997,3.5977000000000032,6.0,13.0,193.82999999999998
Gaudichaudioside A,O1CC(O)C(O)C(O)C1OC1CC(C=O)=C(CC\C(=C\CO)\C)[C@]2(C1[C@](CCC2)(CO)C)C,sweet,468.58700000000033,1.2335999999999994,5.0,8.0,136.68
Hesperinin glucoside DHC,O1C(CO)C(O)C(O)C(O)C1Oc1cc(O)c(C(=O)CCc2cc(O)c(OC)cc2)c(O)c1,sweet,466.4390000000003,-0.19380000000000014,7.0,11.0,186.36999999999998
Homoeohesperidin DHC,O1C(CO)C(O)C(O)C(O[C@H]2OC(C)C(O)C(O)C2O)C1Oc1cc(O)c(C(=O)CCc2cc(O)c(OCC)cc2)c(O)c1,sweet,626.6080000000003,-0.9518999999999986,9.0,15.0,245.28999999999994
Isovanillic 18,O(C)c1ccc(cc1O)C(Oc1ccccc1)O,sweet,246.262,2.4707000000000003,2.0,4.0,58.92
Isovanillic 24,O1c2cc(O)c(O)cc2C2c3c(OC[C@@]12O)c(O)c(O)cc3,sweet,304.25399999999996,1.1142999999999994,5.0,7.0,119.61000000000001
isovanillic 25,O1c2cc(OC)ccc2C2c3c(OC[C@@]12O)cccc3,sweet,270.284,2.3005000000000004,1.0,4.0,47.92
Leucrose,O1C(CO)C(O)C(O)C(O)C1OC(C(O)C(O)C(=O)CO)CO,sweet,342.29700000000014,-5.552999999999993,8.0,11.0,197.36999999999998
Lugduname,O1c2c(OC1)cccc2C\N=C(\Nc1ccc(cc1)C#N)/NCC(O)=O,sweet,352.3500000000001,1.9292799999999999,3.0,5.0,115.97
Mogroside II,O1C(CO)C(O)C(O)C(O)C1OC(C(O)(C)C)CCC(C)[C@H]1CC[C@]2([C@@H]3CC=C4[C@H](CCC(O[C@H]5OC(CO)C(O)C(O)C5O)C4(C)C)[C@]3(C)C(O)C[C@@]12C)C,sweet,801.0240000000005,1.1198000000000055,10.0,14.0,239.21999999999994
Naringin DHC,O1C(CO)C(O)C(O)C(OC2OC(C)C(O)C(O)C2O)C1Oc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(O)c1,sweet,582.5550000000004,-1.350599999999999,9.0,14.0,236.05999999999995
Neoeriocitrin DHC,O1C(CO)C(O)C(O)C(O[C@H]2OC(C)C(O)C(O)C2O)C1Oc1cc(O)c(C(=O)CCc2cc(O)c(O)cc2)c(O)c1,sweet,598.5540000000004,-1.6449999999999998,10.0,15.0,256.28999999999996
Osladin,O1C(CO)C(O)C(O)C(OC2OC(C)C(O)C(O)C2O)C1OC1CC2[C@@](C3C(CC2=O)C2CCC(C(C)C4OC(OC5OC(C)C(O)C(O)C5O)C(CC4)C)[C@@]2(CC3)C)(CC1)C,sweet,887.07,0.4826000000000137,9.0,17.0,263.74999999999994
Polypodoside A,O1[C@H](OC2CC[C@]3([C@H](C2)C(=O)C=C2[C@H]4CC[C@H](C(C)[C@@H]5OC(O[C@H]6OC(C)C(O)C(O)C6O)C(CC5)C)[C@@]4(CC[C@H]23)C)C)C(O[C@H]2OC(C)C(O)C(O)C2O)C(O)C(O)C1CO,sweet,885.0540000000003,0.40270000000000455,9.0,17.0,263.74999999999994
Potassium saccharin,[KH].S1(=O)(=O)NC(=O)c2c1cccc2,sweet,223.294,-0.5298000000000003,1.0,3.0,63.24
Prunin DHC,O1C(CO)C(O)C(O)C(O)C1Oc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(O)c1,sweet,436.41300000000024,-0.20240000000000025,7.0,10.0,177.14
Pterocaryoside A,O1[C@@H](OC2[C@@H]3[C@](CC[C@H]3[C@](O)(C\C=C\C(O)(C)C)C)(C)[C@]3([C@H](C2)[C@@](CCC(O)=O)(C)C(CC3)C(C)=C)C)C(O)C(O)C(O)C1C,sweet,636.8670000000006,4.583200000000007,6.0,8.0,156.91
Pterocaryoside B,O1CC(O)C(O)C(O)[C@@H]1OC1[C@@H]2[C@@](CC[C@@H]2[C@@](O)(C\C=C\C(O)(C)C)C)(C)[C@]2([C@@H](C1)[C@@](CCC(O)=O)(C)C(CC2)C(C)=C)C,sweet,622.84,4.194700000000002,6.0,8.0,156.91
Rebaudioside F,O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@]1([C@@H]2CC[C@@]34[C@@H](CC[C@@](O[C@H]5OC(CO)C(O)C(O[C@H]6OC(CO)C(O)C(O)C6O)C5O[C@H]5OCC(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C),sweet,921.9600000000003,-4.906609999999987,13.0,22.0,353.90000000000003
Ribose,OC(C(O)CO)C(O)C=O,sweet,150.13,-2.7397,4.0,5.0,97.99000000000001
Rubusoside,O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@@]1([C@@H]2CC[C@]34[C@@H](CC[C@@](O[C@@H]5OC(CO)C(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C)C,sweet,642.7389999999998,-0.7622999999999969,8.0,13.0,215.82999999999998
Selligueain A,O1c2c(CC(O)C1c1ccc(O)cc1)c(O)cc(O)c2C1c2c(OC(C1O)c1ccc(O)cc1)c1[C@@H]3c4c(O[C@@](Oc1cc2O)([C@H]3O)c1ccc(O)cc1)cc(O)cc4O,sweet,816.7680000000004,5.125600000000013,11.0,15.0,259.44999999999993
Sorbose,OC(C(O)C(=O)CO)C(O)CO,sweet,180.156,-3.3771999999999998,5.0,6.0,118.22000000000001
trans-cinnamaldehyde,O=C\C=C\c1ccccc1,sweet,132.16199999999998,1.8987,0.0,1.0,17.07
Xylobiose,O1CC(O)C(O)C(O)C1OC1COC(O)C(O)C1O,sweet,282.245,-4.118999999999997,6.0,9.0,149.07
3-Benzyl-4-heptanone,CCCC(=O)C(CC)CC1=CC=CC=C1,sweet,204.31300000000002,3.624500000000003,0.0,1.0,17.07
2-METHYL-2-PENTENAL,CC/C=C(\C)/C=O,sweet,98.14499999999998,1.5416,0.0,1.0,17.07
Rhodinyl butyrate,CCCC(=O)OCCC(C)CCCC(=C)C,sweet,226.35999999999993,4.102300000000004,0.0,2.0,26.3
BENZYL HEXANOATE,CCCCCC(=O)OCC1=CC=CC=C1,sweet,206.285,3.310100000000002,0.0,2.0,26.3
Methyl 3-phenylpropionate,COC(=O)CCC1=CC=CC=C1,sweet,164.204,1.7921999999999998,0.0,2.0,26.3
GERANIOL,CC(=CCC/C(=C/CO)/C)C,sweet,154.253,2.671400000000001,1.0,1.0,20.23
Allyl octanoate,CCCCCCCC(=O)OCC=C,sweet,184.27899999999997,3.076100000000002,0.0,2.0,26.3
pentofuranose,C(C1C(C(C(O1)O)O)O)O,sweet,150.13,-2.5823,4.0,5.0,90.15
Hexyl cinnamic aldehyde,CCCCCC/C(=C\C1=CC=CC=C1)/C=O,sweet,216.324,4.239300000000004,0.0,1.0,17.07
alpha-Methyl cinnamaldehyde,C/C(=C/C1=CC=CC=C1)/C=O,sweet,146.18899999999996,2.2888,0.0,1.0,17.07
2-ETHOXYNAPHTHALENE,CCOC1=CC2=CC=CC=C2C=C1,sweet,172.22699999999998,3.238500000000002,0.0,1.0,9.23
nonan-3-yl acetate,CCCCCCC(CC)OC(=O)C,sweet,186.295,3.2985000000000024,0.0,2.0,26.3
2-(5-methylfuran-2-yl)butanal,CCC(C=O)C1=CC=C(O1)C,sweet,152.19299999999998,2.28052,0.0,2.0,30.21
"4-Methyl-2-phenyl-2-pentenal, (E)+(Z)",CC(C)/C=C(/C=O)\C1=CC=CC=C1,sweet,174.243,2.924900000000001,0.0,1.0,17.07
Octyl 2-methylbutyrate,CCCCCCCCOC(=O)C(C)CC,sweet,214.349,3.936200000000003,0.0,2.0,26.3
ISOAMYL ISOVALERATE,CC(C)CCOC(=O)CC(C)C,sweet,172.26799999999997,2.6218000000000012,0.0,2.0,26.3
cis-3-Hexenyl acetate,CC/C=C\CCOC(=O)C,sweet,142.198,1.9058,0.0,2.0,26.3
Methyl 2-nonynoate,CCCCCCC#CC(=O)OC,sweet,168.236,2.1332000000000004,0.0,2.0,26.3
Methyl butyrate,CCCC(=O)OC,sweet,102.13299999999998,0.9595,0.0,2.0,26.3
Neryl butyrate,CCCC(=O)OC/C=C(/C)\CCC=C(C)C,sweet,224.34399999999994,4.022400000000004,0.0,2.0,26.3
Octyl isobutyrate,CCCCCCCCOC(=O)C(C)C,sweet,200.322,3.5461000000000027,0.0,2.0,26.3
Methyl octanoate,CCCCCCCC(=O)OC,sweet,158.24099999999999,2.5199000000000007,0.0,2.0,26.3
Tetrahydrofurfuryl butyrate,CCCC(=O)OCC1CCCO1,sweet,172.22399999999993,1.5087000000000002,0.0,3.0,35.53
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,sweet,122.12299999999996,1.2046999999999997,1.0,2.0,37.3
dimethyl sulfide,CSC,sweet,62.137,0.9792,0.0,1.0,0.0
"(2E,4E)-Octa-2,4-dienal",CCC/C=C/C=C/C=O,sweet,124.18299999999996,2.0978,0.0,1.0,17.07
Phenethyl butyrate,CCCC(=O)OCCC1=CC=CC=C1,sweet,192.258,2.572400000000001,0.0,2.0,26.3
Furfurylideneacetone,CC(=O)/C=C/C1=CC=CO1,sweet,136.14999999999998,1.8818,0.0,2.0,30.21
Butyl ethyl malonate,CCCCOC(=O)CC(=O)OCC,sweet,188.22299999999996,1.2829000000000002,0.0,4.0,52.60000000000001
(Z)-3-hexenyl hexanoate,CCCCCC(=O)OCC/C=C\CC,sweet,198.30599999999995,3.4662000000000024,0.0,2.0,26.3
METHYL 4-METHOXYBENZOATE,COC1=CC=C(C=C1)C(=O)OC,sweet,166.17599999999996,1.4818,0.0,3.0,35.53
HEXYL BUTYRATE,CCCCCCOC(=O)CCC,sweet,172.26799999999997,2.910000000000001,0.0,2.0,26.3
2-Methylbutanoic acid,CCC(C)C(=O)O,sweet,102.13299999999998,1.1171,1.0,1.0,37.3
"3,4-HEXANEDIONE",CCC(=O)C(=O)CC,sweet,114.14399999999999,0.9446,0.0,2.0,34.14
